"Average multi-year sea ice area, Canadian Arctic domain, 1968 to 2015",
,
Year,Canadian Arctic domain multi–year sea ice area (thousands of square kilometres)
1968,487
1969,659
1970,513
1971,490
1972,454
1973,537
1974,498
1975,631
1976,625
1977,503
1978,548
1979,626
1980,671
1981,484
1982,368
1983,576
1984,528
1985,492
1986,539
1987,557
1988,580
1989,545
1990,616
1991,669
1992,680
1993,603
1994,596
1995,496
1996,671
1997,619
1998,392
1999,334
2000,414
2001,569
2002,486
2003,516
2004,534
2005,556
2006,489
2007,370
2008,260
2009,351
2010,344
2011,250
2012,201
2013,295
2014,405
2015,391
,
Note: Sea ice is measured during the summer season. The summer season is defined as the period from June 25 to October 15 for the Canadian Arctic domain.,
Source: Environment and Climate Change Canada (2016) Climate Research Division.,
Available on the Canadian Environmental Sustainability Indicators (www.ec.gc.ca/indicateurs-indicators/default.asp?lang=En).,
