"Sub-region sea ice area trends, Northern Canadian Waters, 1968 to 2015",,,,,,,,,
,,,,,,,,,
Year,Foxe Basin sea ice area (thousands of square kilometres),Kane Basin sea ice area (thousands of square kilometres),Baffin Bay sea ice area (thousands of square kilometres),Beaufort Sea sea ice area (thousands of square kilometres),Canadian Arctic Archipelago sea ice area (thousands of square kilometres),Hudson Bay sea ice area (thousands of square kilometres),Hudson Strait sea ice area (thousands of square kilometres),Davis Strait sea ice area (thousands of square kilometres),North Labrador Sea sea ice area (thousands of square kilometres)
1968,83,31,143,311,542,94,21,25,5
1969,59,32,172,431,544,191,25,34,5
1970,74,34,216,390,556,130,19,38,12
1971,66,33,177,354,482,109,30,31,9
1972,117,33,171,335,659,223,50,77,15
1973,64,34,157,375,476,125,30,49,3
1974,68,34,85,478,587,154,27,23,7
1975,53,34,87,457,520,109,17,27,8
1976,82,34,147,427,597,113,19,41,7
1977,73,35,210,286,515,84,15,41,6
1978,108,31,210,412,649,194,30,35,7
1979,76,33,139,327,662,127,22,37,6
1980,62,33,149,417,581,110,17,28,3
1981,44,31,127,353,471,104,14,28,2
1982,63,32,158,299,558,142,24,58,6
1983,90,35,187,453,539,162,38,81,12
1984,65,31,124,442,538,154,41,52,12
1985,56,30,85,459,513,133,27,24,10
1986,72,33,179,397,622,165,21,42,3
1987,86,30,188,275,587,158,26,32,7
1988,66,28,121,379,492,112,23,26,5
1989,81,35,177,388,537,141,20,28,5
1990,86,26,153,377,592,128,31,38,7
1991,69,33,108,467,553,122,27,34,12
1992,79,38,151,450,612,210,32,55,7
1993,68,31,212,253,526,142,21,42,4
1994,56,29,140,437,511,116,19,31,6
1995,56,25,169,284,531,94,12,14,0
1996,61,35,258,454,538,121,22,29,6
1997,49,35,156,312,576,102,16,17,3
1998,58,32,140,155,392,55,10,13,1
1999,59,31,144,335,458,37,8,27,5
2000,47,32,94,406,506,107,8,24,2
2001,57,34,102,425,522,51,6,18,1
2002,59,34,79,358,564,126,15,28,9
2003,52,30,74,352,556,103,9,18,2
2004,61,32,101,314,598,147,11,16,0
2005,40,30,112,354,549,64,10,10,1
2006,28,29,64,360,436,46,4,12,1
2007,54,25,96,242,408,76,10,18,5
2008,59,26,92,158,435,94,14,24,0
2009,52,22,69,306,505,139,17,28,6
2010,39,29,79,233,408,33,3,9,0
2011,45,25,73,190,340,59,3,6,0
2012,52,29,43,126,353,74,6,18,0
2013,57,35,67,339,504,84,9,17,5
2014,61,25,52,260,520,86,12,13,5
2015,65,35,128,261,418,140,18,47,3
